what,kind,bundleId,bundleVersion,description,time
error,log,,,"Could not retrieve superclass",1447168113868
error,log,,,"Could not retrieve superclass",1447168113871
error,log,,,"Could not retrieve superclass",1447168115889
error,log,,,"Could not retrieve superclass",1447168115893
error,log,,,"Could not retrieve superclass",1447168119915
error,log,,,"Could not retrieve superclass",1447168119922
error,log,,,"Could not retrieve superclass",1447168120959
error,log,,,"Could not retrieve superclass",1447168120966
error,log,,,"Could not retrieve superclass",1447168122476
error,log,,,"Could not retrieve superclass",1447168122482
error,log,,,"Could not retrieve superclass",1447168127512
error,log,,,"Could not retrieve superclass",1447168127519
error,log,,,"Could not retrieve superclass",1447168130035
error,log,,,"Could not retrieve superclass",1447168130043
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1447168159573
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1447168165883
error,log,,,"Could not retrieve superclass",1447168168062
error,log,,,"Could not retrieve superclass",1447168168067
error,log,,,"Could not retrieve superclass",1447168173091
error,log,,,"Could not retrieve superclass",1447168173096
error,log,,,"Could not retrieve superclass",1447168195115
error,log,,,"Could not retrieve superclass",1447168195119
error,log,,,"Could not retrieve superclass",1447168196628
error,log,,,"Could not retrieve superclass",1447168196631
error,log,,,"Could not retrieve superclass",1447168198670
error,log,,,"Could not retrieve superclass",1447168198674
error,log,,,"Could not retrieve superclass",1447168200194
error,log,,,"Could not retrieve superclass",1447168200198
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1447168203375
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1447168203473
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1447168203589
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1447168205744
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1447168217314
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1447168219684
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1447168229478
error,log,,,"Could not retrieve interfaces",1447168229489
error,log,,,"Could not retrieve superclass",1447168229536
error,log,,,"Could not retrieve superclass",1447168229540
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1447168229585
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1447168229650
