what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446815247821
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446815249291
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446815249375
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446815250454
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1446815250898
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1446815317661
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446815335046
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446815336755
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1446815338362
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1446815346977
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1446815349961
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1446815358679
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446815469658
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446815470850
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446815470975
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446815471923
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1446815472225
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1446815485285
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1446815487796
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1446815490365
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1446815491558
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1446815492452
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446815494422
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1446815586214
